2019/09/26 14:25:04 INFO  : QT10 Quy trinh quan ly phong may chu 12.04.2016.docx: Copied (new)
2019/09/26 14:25:11 INFO  : putty.exe: Copied (new)
2019/09/26 14:25:12 INFO  : QT10 Quy trinh quan ly phong may chu 12.04.2016(1).docx: Copied (new)
2019/09/26 14:25:12 INFO  : Production Schedule/3. Production Forecast.xlsx: Copied (new)
2019/09/26 14:25:19 INFO  : QT10 Quy trinh quan ly phong may chu 12.04.2019.docx: Copied (new)
2019/09/26 14:25:19 INFO  : hyperterminal.zip.rar: Copied (new)
2019/09/26 14:25:19 INFO  : Fortinet.JPG: Copied (new)
2019/09/26 14:25:24 INFO  : Production Schedule/New MSR 0000355 Schedule.xlsx: Copied (new)
2019/09/26 14:25:24 INFO  : Production Schedule/Database _ R3.xlsx: Copied (new)
2019/09/26 14:25:24 INFO  : Active window 7 enterprise.cmd: Copied (new)
2019/09/26 14:25:25 INFO  : Production Schedule/BoM Per Person Per Hour_2018-05-14.xlsm: Copied (new)
2019/09/26 14:25:25 INFO  : Production Schedule/Capacity calculation and plan 2019.xlsx: Copied (new)
2019/09/26 14:25:26 INFO  : Production Schedule/Quotation form - Alwin.pdf: Copied (new)
2019/09/26 14:25:26 INFO  : Production Schedule/~$Capacity calculation and plan 2019.xlsx: Copied (new)
2019/09/26 14:25:26 INFO  : Production Schedule/Alwin-VN Production Schedule Calendar.ics: Copied (new)
2019/09/26 14:25:26 INFO  : Production Schedule/PO Control Table -2019.xlsx: Copied (new)
2019/09/26 14:25:26 INFO  : Production Schedule/Báo cáo RW PCBA.xlsx: Copied (new)
2019/09/26 14:25:26 INFO  : Production Schedule/~$Capacity calculation and plan.xlsx: Copied (new)
2019/09/26 14:25:27 INFO  : Production Schedule/Thumbs.db: Copied (new)
2019/09/26 14:25:28 INFO  : Production Schedule/KH Mua NVL.xlsm: Copied (new)
2019/09/26 14:25:28 INFO  : Local file system at \\?\D:\restore: Waiting for checks to finish
2019/09/26 14:25:28 INFO  : Local file system at \\?\D:\restore: Waiting for transfers to finish
2019/09/26 14:25:28 INFO  : Production Schedule/~$PO Control Table - May 20191.xlsx: Copied (new)
2019/09/26 14:25:28 INFO  : Production Schedule/~$PO Control Table - Mar 2019.xlsx: Copied (new)
2019/09/26 14:25:28 INFO  : Production Schedule/~$PO Control Table - Apr 2019.xlsx: Copied (new)
2019/09/26 14:25:28 INFO  : Production Schedule/~$PO Control Table - July 2019.xlsx: Copied (new)
2019/09/26 14:25:28 INFO  : Production Schedule/~$PO Control Table -2019.xlsx: Copied (new)
2019/09/26 14:25:28 INFO  : 0000007 - 6215212 R/0000007 - IIS.xlsx: Copied (new)
